Term	Gene
Glutamatergic_neurons	Cpne9
Glutamatergic_neurons	Hoxc10
Glutamatergic_neurons	Mab21l2
Glutamatergic_neurons	Glra1
Glutamatergic_neurons	Tlx3
Glutamatergic_neurons	Lhfpl5
Glutamatergic_neurons	Hoxb8
Glutamatergic_neurons	Card10
Glutamatergic_neurons	Hoxa7
Glutamatergic_neurons	Hoxa10
Glutamatergic_neurons	Doc2a
Glutamatergic_neurons	Hoxc8
Glutamatergic_neurons	RP24-236C17.2
Glutamatergic_neurons	Hoxc9
Glutamatergic_neurons	Hoxa10
Glutamatergic_neurons	Ap1s2
Glutamatergic_neurons	Hoxb8
Glutamatergic_neurons	Vsig8
Glutamatergic_neurons	Hoxa9
Glutamatergic_neurons	Hoxa10
Glutamatergic_neurons	D630023F18Rik
Glutamatergic_neurons	Nmu
Glutamatergic_neurons	Hoxb7
Glutamatergic_neurons	Hoxb6
Glutamatergic_neurons	Tlx3
Glutamatergic_neurons	Hoxb2
Glutamatergic_neurons	Grp
Glutamatergic_neurons	Mrap2
Glutamatergic_neurons	Hoxa7
Glutamatergic_neurons	Tlx3
Glutamatergic_neurons	Spint2
Glutamatergic_neurons	Ucn3
Glutamatergic_neurons	Nppc
Glutamatergic_neurons	Glra1
Glutamatergic_neurons	Rapsn
Glutamatergic_neurons	Pde4d
Glutamatergic_neurons	Pcp2
Glutamatergic_neurons	Lbx1
Glutamatergic_neurons	Hoxb6
Glutamatergic_neurons	Relt
Glutamatergic_neurons	Tunar
Glutamatergic_neurons	Nts
Glutamatergic_neurons	Pde11a
Glutamatergic_neurons	Prrxl1
Glutamatergic_neurons	Tlx3
Glutamatergic_neurons	Cpne8
Glutamatergic_neurons	Nts
Glutamatergic_neurons	Pla2g5
Glutamatergic_neurons	Glra1
Glutamatergic_neurons	C1ql3
Glutamatergic_neurons	Resp18
Glutamatergic_neurons	Synpo2
Glutamatergic_neurons	Adamts15
Glutamatergic_neurons	Prkcd
Glutamatergic_neurons	Ptpn3
Glutamatergic_neurons	Ptpn4
Glutamatergic_neurons	Slc17a6
Glutamatergic_neurons	Gbx2
Glutamatergic_neurons	Foxp2
Glutamatergic_neurons	Necab1
Glutamatergic_neurons	Cpne7
Glutamatergic_neurons	Cbln1
Glutamatergic_neurons	Megf11
Glutamatergic_neurons	Cbln4
Glutamatergic_neurons	Wnt4
Glutamatergic_neurons	Lypd6b
Glutamatergic_neurons	Cartpt
Glutamatergic_neurons	Ucn
Glutamatergic_neurons	Chodl
Glutamatergic_neurons	Gm15469
Glutamatergic_neurons	Sdc1
GABAergic_neurons	Cyp26b1
GABAergic_neurons	Stk32b
GABAergic_neurons	Chrm2
GABAergic_neurons	Tcerg1l
GABAergic_neurons	Nell1
GABAergic_neurons	Pax2
GABAergic_neurons	Nyap2
GABAergic_neurons	Hoxb6
GABAergic_neurons	Tmem255a
GABAergic_neurons	Unc13c
GABAergic_neurons	Slc6a5
GABAergic_neurons	Pgr
GABAergic_neurons	Glra1
GABAergic_neurons	Ankrd34b
GABAergic_neurons	Ppargc1a
GABAergic_neurons	Chrna2
GABAergic_neurons	Nos1
GABAergic_neurons	Sv2c
GABAergic_neurons	Egfr
GABAergic_neurons	Cacng5
GABAergic_neurons	Hoxb5
GABAergic_neurons	Nhlh2
GABAergic_neurons	Zic4
GABAergic_neurons	Abhd11os
GABAergic_neurons	Hoxb4
GABAergic_neurons	Ebf3
GABAergic_neurons	Sema3a
GABAergic_neurons	Esrrg
GABAergic_neurons	Hoxa3
GABAergic_neurons	Tmtc4
GABAergic_neurons	Nxph4
GABAergic_neurons	Tmem72
GABAergic_neurons	Gpr139
GABAergic_neurons	Igf1
GABAergic_neurons	Nkx6-1
GABAergic_neurons	Irs4
GABAergic_neurons	Tfap2b
GABAergic_neurons	Cbln4
GABAergic_neurons	Amigo2
GABAergic_neurons	1700003F12Rik
GABAergic_neurons	Slc6a5
GABAergic_neurons	Stac2
GABAergic_neurons	Vamp1
GABAergic_neurons	Steap2
GABAergic_neurons	Sgpp2
GABAergic_neurons	Slc6a5
GABAergic_neurons	Lingo4
GABAergic_neurons	Sall3
GABAergic_neurons	Hoxb3
GABAergic_neurons	Hcn1
GABAergic_neurons	Six6
GABAergic_neurons	Rgs16
GABAergic_neurons	Pkib
GABAergic_neurons	Scg2
GABAergic_neurons	Rab26os
GABAergic_neurons	Avp
GABAergic_neurons	Rgs16
GABAergic_neurons	Pkib
GABAergic_neurons	Rasd1
GABAergic_neurons	Gadd45g
GABAergic_neurons	Syt2
GABAergic_neurons	Nfatc2
GABAergic_neurons	Smim17
GABAergic_neurons	Slc32a1
GABAergic_neurons	Tmem130
GABAergic_neurons	Rln3
GABAergic_neurons	Gpx3
GABAergic_neurons	Gata3
GABAergic_neurons	Nnat
GABAergic_neurons	Pcdh11x
GABAergic_neurons	Lhx1os
GABAergic_neurons	Galnt14
GABAergic_neurons	Lmo1
GABAergic_neurons	Col25a1
GABAergic_neurons	Ralyl
GABAergic_neurons	Sox14
GABAergic_neurons	Dmbx1
GABAergic_neurons	Chrnb3
GABAergic_neurons	Rpp25
GABAergic_neurons	Unc13c
GABAergic_neurons	Otx2
GABAergic_neurons	Gabrr2
GABAergic_neurons	Cdhr1
GABAergic_neurons	Rpp25
GABAergic_neurons	Igsf3
GABAergic_neurons	Otx2
